code,slug,variant,finish-description,body-colour,accent-colours,top-material,dimensions-cm,accessories,source-file,path
PS478,PS478,main,,,,,,,PS478.jpg,images/PS478/main.jpg
PS479,PS479,main,,,,,,,PS479.jpg,images/PS479/main.jpg
PS482L,PS482L,main,,,,,,,PS482L.jpg,images/PS482L/main.jpg
PS482L-TOP OAK,PS482L-TOP-OAK,main,,,,,,,PS482L-TOP OAK.jpg,images/PS482L-TOP-OAK/main.jpg
PS482R-TOP Z,PS482R-TOP-Z,main,,,,,,,PS482R-TOP Z.jpg,images/PS482R-TOP-Z/main.jpg
PS484-TOP OAK,PS484-TOP-OAK,main,,,,,,,PS484-TOP OAK.jpg,images/PS484-TOP-OAK/main.jpg
PS486-TOP OAK,PS486-TOP-OAK,main,,,,,,,PS486-TOP OAK.jpg,images/PS486-TOP-OAK/main.jpg
PS492,PS492,main,,,,,,,PS492.jpg,images/PS492/main.jpg
PS493BAS-TOP OAK,PS493BAS-TOP-OAK,main,,,,,,,PS493BAS-TOP OAK.jpg,images/PS493BAS-TOP-OAK/main.jpg
PS496-TOP OAK,PS496-TOP-OAK,main,,,,,,,PS496-TOP OAK.jpg,images/PS496-TOP-OAK/main.jpg
PS497,PS497,main,,,,,,,PS497.jpg,images/PS497/main.jpg
PS498-TOP OAK,PS498-TOP-OAK,main,,,,,,,PS498-TOP OAK.jpg,images/PS498-TOP-OAK/main.jpg
PS508BAS-TOP OAK,PS508BAS-TOP-OAK,main,,,,,,,PS508BAS-TOP OAK.jpg,images/PS508BAS-TOP-OAK/main.jpg
PS509,PS509,main,,,,,,,PS509.jpg,images/PS509/main.jpg
PS509-TOP OAK,PS509-TOP-OAK,main,,,,,,,PS509-TOP OAK.jpg,images/PS509-TOP-OAK/main.jpg
PS516,PS516,main,,,,,,,PS516.jpg,images/PS516/main.jpg
PS526,PS526,main,,,,,,,PS526.jpg,images/PS526/main.jpg
PS530-TOP Z,PS530-TOP-Z,main,,,,,,,PS530-TOP Z.jpg,images/PS530-TOP-Z/main.jpg
PS54,PS54,main,,,,,,,PS54.jpg,images/PS54/main.jpg
PS541-90X200,PS541-90X200,main,,,,,,,PS541-90X200.jpg,images/PS541-90X200/main.jpg
PS545,PS545,main,,,,,,,PS545.jpg,images/PS545/main.jpg
PS552,PS552,main,,,,,,,PS552.jpg,images/PS552/main.jpg
PS568,PS568,main,,,,,,,PS568.jpg,images/PS568/main.jpg
PS56BAS-PS297SUP,PS56BAS-PS297SUP,main,,,,,,,PS56BAS-PS297SUP.jpg,images/PS56BAS-PS297SUP/main.jpg
PS56BAS-TOP OAK,PS56BAS-TOP-OAK,main,,,,,,,PS56BAS-TOP OAK.jpg,images/PS56BAS-TOP-OAK/main.jpg
PS570,PS570,main,,,,,,,PS570.jpg,images/PS570/main.jpg
PS575,PS575,main,,,,,,,PS575.jpg,images/PS575/main.jpg
PS576,PS576,main,,,,,,,PS576.jpg,images/PS576/main.jpg
PS576-TOP OAK,PS576-TOP-OAK,main,,,,,,,PS576-TOP OAK.jpg,images/PS576-TOP-OAK/main.jpg
PS59BAS,PS59BAS,main,,,,,,,PS59BAS.jpg,images/PS59BAS/main.jpg
PS603-TOP OAK,PS603-TOP-OAK,main,,,,,,,PS603-TOP OAK.jpg,images/PS603-TOP-OAK/main.jpg
PS609BAS,PS609BAS,main,,,,,,,PS609BAS.jpg,images/PS609BAS/main.jpg
PS61-2D-140X200,PS61-2D-140X200,main,,,,,,,PS61-2D-140X200.jpg,images/PS61-2D-140X200/main.jpg
